Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Patterson Lakes,Patterson Lakes  Australia,"921,800","(-38.0694493, 145.1432329)",32.451625384968516
Ringwood North,Ringwood North  Australia,"921,800","(-37.7930324, 145.2312313)",23.72474413141728
Kingsville,Kingsville  Australia,"921,400","(-37.8088622, 144.8794356)",7.396492809603415
Heatherton,Heatherton  Australia,"916,700","(-37.9560844, 145.0932067)",19.46339332039555
The Patch,The Patch  Australia,"916,700","(-37.8901143, 145.3912949)",38.60960275251683
Keilor,Keilor  Australia,"915,900","(-37.7113545, 144.8250696)",16.685442556573804
Notting Hill,Notting Hill  Australia,"915,600","(-37.905582, 145.1455616)",18.986217316788817
Eden Park,Eden Park  Australia,"912,000","(-37.4950097, 145.071621)",36.69884104117165
Montmorency,Montmorency  Australia,"910,100","(-37.7152592, 145.1214652)",17.753919581099574
Christmas Hills,Christmas Hills  Australia,"906,200","(-37.6528089, 145.3206126)",36.24595986387967
Altona,Altona  Australia,"905,500","(-37.8672062, 144.830142)",13.102742456171837
Mulgrave,Mulgrave  Australia,"904,800","(-37.9319869, 145.1817988109604)",23.25755439496296
Heathmont,Heathmont  Australia,"899,600","(-37.8283667, 145.2445824)",24.82752349908685
Wantirna,Wantirna  Australia,"890,100","(-37.8523357, 145.2259721)",23.519188829053522
Aspendale Gardens,Aspendale Gardens  Australia,"889,600","(-38.0221438, 145.11984)",26.87802696135644
Ringwood,Ringwood  Australia,"881,700","(-37.8159197, 145.2289042)",23.400143510995807
Lysterfield South,Lysterfield South  Australia,"881,200","(-37.9524844, 145.2669275)",30.816075408665014
Croydon Hills,Croydon Hills  Australia,"880,100","(-37.7759541, 145.2671081)",27.105322191448217
Bend of Islands,Bend of Islands  Australia,"878,600","(-37.700485, 145.2777398125)",30.45988845738425
Dingley Village,Dingley Village  Australia,"877,600","(-37.9755762, 145.1256478)",22.913429691688307
Chelsea,Chelsea  Australia,"874,000","(-38.0518344, 145.1158466)",29.59358216312005
Kilsyth South,Kilsyth South  Australia,"870,800","(-37.8315054, 145.3110008)",30.685021173718447
Bonbeach,Bonbeach  Australia,"860,900","(-38.0629381, 145.1197459)",30.848055767908487
South Kingsville,South Kingsville  Australia,"860,400","(-37.8306664, 144.8713429)",8.287593506604559
Avondale Heights,Avondale Heights  Australia,"856,300","(-37.7614537, 144.862141)",10.652578535115426
Clarinda,Clarinda  Australia,"851,900","(-37.9431093, 145.1060206)",19.042898540846352
Yallambie,Yallambie  Australia,"848,800","(-37.7251655, 145.0935218)",15.15305151093151
Ferny Creek,Ferny Creek  Australia,"848,700","(-37.899536, 145.3037953)",31.437009615788998
Sanctuary Lakes,Sanctuary Lakes  Australia,"848,200","(-37.8962568, 144.7671613)",19.504889559070822
Rowville,Rowville  Australia,"842,200","(-37.9239267, 145.2447672)",27.60857645233084
Keilor East,Keilor East  Australia,"836,600","(-37.7375531, 144.85744950114827)",12.615034169888728
Clayton South,Clayton South  Australia,"833,400","(-37.9430924, 145.125236)",20.197279967537945
Croydon North,Croydon North  Australia,"822,200","(-37.7718843, 145.2839524)",28.642917441405267
West Footscray,West Footscray  Australia,"820,100","(-37.8017432, 144.8840729452263)",7.100848354923
Olinda,Olinda  Australia,"819,800","(-37.843742, 145.3855733)",37.33159990199242
Scoresby,Scoresby  Australia,"817,600","(-37.9025786, 145.2183066)",24.50160957986153
Ringwood East,Ringwood East  Australia,"816,500","(-37.8130808, 145.2530126)",25.522985598405718
Altona North,Altona North  Australia,"815,300","(-37.8378229, 144.8342853)",11.644718128462609
Footscray,Footscray  Australia,"813,000","(-37.8015202, 144.9025869)",5.517239356764955
Strathmore Heights,Strathmore Heights  Australia,"808,500","(-37.7133663, 144.8969057)",12.62459776437491
Wattle Glen,Wattle Glen  Australia,"808,400","(-37.6699452, 145.1916231)",25.727301109247627
Sassafras,Sassafras  Australia,"804,700","(-37.8678412, 145.3568039)",35.156591762583176
Southbank,Southbank  Australia,"802,600","(-37.8253618, 144.9640203)",1.2392417721504336
Attwood,Attwood  Australia,"801,400","(-37.6670148, 144.884862)",17.7360463681133
Oak Park,Oak Park  Australia,"800,300","(-37.7179979, 144.9215308)",11.291983809924862
Airport West,Airport West  Australia,"799,000","(-37.7222576, 144.8834942)",12.387480267767428
Greensborough,Greensborough  Australia,"794,500","(-37.7040276, 145.1082164336504)",17.690705768933228
Coburg North,Coburg North  Australia,"792,300","(-37.7243394, 144.9675896)",9.983400215793967
Mount Dandenong,Mount Dandenong  Australia,"792,200","(-37.8291766, 145.3538837)",34.441097507878034
Carrum,Carrum  Australia,"791,200","(-38.0783895, 145.1232748)",32.52435770909939
Belgrave South,Belgrave South  Australia,"789,300","(-37.9424023, 145.3573383)",37.48384820154809
Hurstbridge,Hurstbridge  Australia,"788,800","(-37.63946, 145.1921774)",27.99715983696135
Diamond Creek,Diamond Creek  Australia,"784,700","(-37.6733326, 145.1586943)",23.270579096784466
