Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Seaholme,"(-37.8677992, 144.8410816)",12.281599704823579,"1,101,600",Shopping Mall,Indian Restaurant,Food & Drink Shop,Park,Pub,Cafe,Field,Event Service,Event Space,Falafel Restaurant
Brunswick East,"(-37.7688802, 144.9776825)",5.192128928915204,"1,097,100",Cafe,Bar,Cocktail Bar,Pub,Vegetarian / Vegan Restaurant,Wine Bar,Japanese Restaurant,Australian Restaurant,Asian Restaurant,Bakery
Blackburn North,"(-37.8053801, 145.154324)",16.862158536221106,"1,090,100",Cafe,Pub,Bakery,Pizza Place,Coffee Shop,Wine Bar,Italian Restaurant,Bar,Light Rail Station,Gastropub
Brunswick,"(-37.7664715, 144.9613103)",5.301965664833015,"1,089,800",Cafe,Vietnamese Restaurant,Supermarket,Shopping Mall,Noodle House,Park,Malay Restaurant,Grocery Store,Pharmacy,Light Rail Station
Lysterfield,"(-37.9348771, 145.3017588)",32.662365292521876,"1,076,000",Cafe,Vietnamese Restaurant,Bar,Asian Restaurant,Gym,Coffee Shop,Chinese Restaurant,Restaurant,Pub,Pizza Place
Burwood East,"(-37.8535935, 145.150423)",17.05423840502992,"1,073,500",Office,Dim Sum Restaurant,Doctor's Office,Light Rail Station,Cafe,Asian Restaurant,Kebab Restaurant,Pharmacy,Pizza Place,Wine Shop
Moorabbin,"(-37.9343919, 145.0368952)",14.832546723633506,"1,068,600",Construction & Landscaping,Athletics & Sports,Pool,Golf Course,Music Venue,IT Services,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space
Research,"(-37.7066557, 145.189067)",23.211785415012354,"1,060,700",Cafe,Convenience Store,Coffee Shop,Train Station,Restaurant,Sandwich Place,Park,Fast Food Restaurant,Bus Stop,Sporting Goods Shop
North Warrandyte,"(-37.7258538, 145.2155463)",24.303502614054185,"1,048,800",Cafe,Fish & Chips Shop,Home Service,Supermarket,Bakery,Grocery Store,BBQ Joint,Falafel Restaurant,Farm,Farmers Market
Heidelberg,"(-37.90111725, 145.13398519170184)",17.86111674366665,"1,048,400",Cafe,Playground,Pool,Grocery Store,Malay Restaurant,Park,Farmers Market,Light Rail Station,Sandwich Place,Asian Restaurant
Lower Plenty,"(-37.7388437, 145.116224)",15.868938655764037,"1,047,900",Park,Cafe,Vietnamese Restaurant,Convenience Store,Train Station,Gas Station,Fast Food Restaurant,Zoo Exhibit,Field,Event Space
Newport,"(-37.8427411, 144.8835623)",7.689554758724303,"1,047,300",Chinese Restaurant,Japanese Restaurant,Hotel,Cafe,Supermarket,Pub,Thai Restaurant,Malay Restaurant,Shopping Mall,Asian Restaurant
Mentone,"(-37.9820188, 145.0651242)",20.671658532926344,"1,042,400",Ice Cream Shop,Restaurant,Train Station,Fast Food Restaurant,Middle Eastern Restaurant,Thrift / Vintage Store,Bakery,Supermarket,Hotel,Filipino Restaurant
Flemington,"(-37.7867587, 144.9193668)",4.915753359572757,"1,041,900",Scenic Lookout,Shop & Service,Park,Playground,Fish & Chips Shop,Zoo Exhibit,Farmers Market,Ethiopian Restaurant,Event Service,Event Space
Mordialloc,"(-38.0067174, 145.0875658)",24.00439452809379,"1,038,800",Cafe,Supermarket,Fast Food Restaurant,Cosmetics Shop,Gas Station,Park,Shopping Mall,Music Store,Electronics Store,Thrift / Vintage Store
