Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Bardwell Park,Bardwell Park  Australia,"1,263,300","(-33.9355556, 151.1238889)",12.39007787141728
Beverley Park,Beverley Park  Australia,"1,262,900","(-33.9787995, 151.1316285)",15.832240547670741
Galston,Galston  Australia,"1,256,600","(-33.6467002, 151.0642498)",27.050552925681266
Maianbar,Maianbar  Australia,"1,251,200","(-34.0783413, 151.1303571)",26.03942037170808
Lugarno,Lugarno  Australia,"1,246,100","(-33.9823958, 151.0450193)",21.250361809700802
North Rocks,North Rocks  Australia,"1,242,600","(-33.7713052, 151.020996)",20.32966181192945
Rydalmere,Rydalmere  Australia,"1,242,500","(-33.8117088, 151.0411702)",16.914965660982915
Pearl Beach,Pearl Beach  Australia,"1,241,600","(-33.5413889, 151.3075)",35.77440678699062
Harris Park,Harris Park  Australia,"1,235,300","(-33.8224029, 151.0117558)",19.28476232820622
Waterloo,Waterloo  Australia,"1,233,500","(-33.9002762, 151.2073137)",5.112900706366784
Clemton Park,Clemton Park  Australia,"1,228,700","(-33.9258322, 151.1029075)",13.129043566126928
Newington,Newington  Australia,"1,225,500","(-33.8342301, 151.0558716)",15.036709322316812
Woronora,Woronora  Australia,"1,225,500","(-34.1164957, 150.9522795)",37.92558540024305
